citation,author,title,year
19424,Yoshua Bengio,Gradient-based learning applied to document recognition,1998
16488,Yoshua Bengio,Deep learning,2015
9978,Yoshua Bengio,Generative adversarial nets,2014
8423,Yoshua Bengio,Deep learning,2016
7415,Yoshua Bengio,Neural machine translation by jointly learning to align and translate,2014
6833,Yoshua Bengio,Learning deep architectures for AI,2009
5814,Yoshua Bengio,Understanding the difficulty of training deep feedforward neural networks,2010
5527,Yoshua Bengio,Learning phrase representations using RNN encoder-decoder for statistical machine translation,2014
4944,Yoshua Bengio,Representation learning: A review and new perspectives,2013
4787,Yoshua Bengio,A Neural probabilistic language model,2003
3838,Yoshua Bengio,Greedy layer-wise training of deep networks,2007
3646,Yoshua Bengio,Learning long-term dependencies with gradient descent is difficult,1994
3597,Yoshua Bengio,Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,2010
3341,Yoshua Bengio,"Show, attend and tell: Neural image caption generation with visual attention",2015
3309,Yoshua Bengio,Extracting and composing robust features with denoising autoencoders,2008
3259,Yoshua Bengio,Deep sparse rectifier neural networks,2011
2833,Yoshua Bengio,Empirical evaluation of gated recurrent neural networks on sequence modeling,2014
2685,Yoshua Bengio,How transferable are features in deep neural networks?,2014
2611,Yoshua Bengio,Random search for hyper-parameter optimization,2012
2278,Yoshua Bengio,"Convolutional networks for images, speech, and time series",1995
1942,Yoshua Bengio,On the difficulty of training recurrent neural networks,2013
1781,Yoshua Bengio,Word representations: a simple and general method for semi-supervised learning,2010
1750,Yoshua Bengio,Why does unsupervised pre-training help deep learning?,2010
1712,Yoshua Bengio,On the properties of neural machine translation: Encoder-decoder approaches,2014
1646,Yoshua Bengio,Maxout networks,2013
1574,Yoshua Bengio,Theano: a CPU and GPU math expression compiler,2010
1336,Yoshua Bengio,Curriculum learning,2009
1286,Yoshua Bengio,Theano: new features and speed improvements,2012
1154,Yoshua Bengio,Domain adaptation for large-scale sentiment classification: A deep learning approach,2011
1093,Yoshua Bengio,"Out-of-sample extensions for lle, isomap, mds, eigenmaps, and spectral clustering",2004
1053,Yoshua Bengio,Algorithms for hyper-parameter optimization,2011
994,Yoshua Bengio,Scaling learning algorithms towards AI,2007
953,Yoshua Bengio,Practical recommendations for gradient-based training of deep architectures,2012
886,Yoshua Bengio,Binaryconnect: Training deep neural networks with binary weights during propagations,2015
873,Yoshua Bengio,Binarized neural networks: Training deep neural networks with weights and activations constrained to+ 1 or-1,2016
870,Yoshua Bengio,Contractive auto-encoders: Explicit invariance during feature extraction,2011
825,Yoshua Bengio,Gradient flow in recurrent nets: the difficulty of learning long-term dependencies,2001
808,Yoshua Bengio,Brain tumor segmentation with deep neural networks,2017
753,Yoshua Bengio,Inference for the generalization error,2000
746,Yoshua Bengio,Exploring strategies for training deep neural networks,2009
742,Yoshua Bengio,Hierarchical probabilistic neural network language model.,2005
740,Yoshua Bengio,An empirical evaluation of deep architectures on problems with many factors of variation,2007
702,Yoshua Bengio,Attention-based models for speech recognition,2015
694,Yoshua Bengio,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,2014
692,Yoshua Bengio,Classification using discriminative restricted Boltzmann machines,2008
656,Yoshua Bengio,Fitnets: Hints for thin deep nets,2014
645,Yoshua Bengio,Building end-to-end dialogue systems using generative hierarchical neural network models,2016
642,Yoshua Bengio,Deep learning of representations for unsupervised and transfer learning,2012
615,Yoshua Bengio,Deep learning,2017
574,Yoshua Bengio,No unbiased estimator of the variance of k-fold cross-validation,2004
573,Yoshua Bengio,Deep learning. vol. 1,2016
547,Yoshua Bengio,Theano: A CPU and GPU math compiler in Python,2010
546,Yoshua Bengio,Semi-supervised learning by entropy minimization,2005
531,Yoshua Bengio,On using very large target vocabulary for neural machine translation,2014
530,Yoshua Bengio,Representational power of restricted Boltzmann machines and deep belief networks,2008
516,Yoshua Bengio,Learning structured embeddings of knowledge bases,2011
491,Yoshua Bengio,Convergence properties of the k-means algorithms,1995
476,Yoshua Bengio,How to construct deep recurrent neural networks,2013
476,Yoshua Bengio,Visualizing higher-layer features of a deep network,2009
459,Yoshua Bengio,Modeling temporal dependencies in high-dimensional sequences: Application to polyphonic music generation and transcription,2012
454,Yoshua Bengio,End-to-end attention-based large vocabulary speech recognition,2016
439,Yoshua Bengio,On the number of linear regions of deep neural networks,2014
435,Yoshua Bengio,Binarized neural networks,2016
430,Yoshua Bengio,Estimating or propagating gradients through stochastic neurons for conditional computation,2013
410,Yoshua Bengio,A parallel mixture of SVMs for very large scale problems,2002
398,Yoshua Bengio,Quantized neural networks: Training neural networks with low precision weights and activations,2017
396,Yoshua Bengio,Theano: A Python framework for fast computation of mathematical expressions,2016
393,Yoshua Bengio,A structured self-attentive sentence embedding,2017
378,Yoshua Bengio,An input output HMM architecture,1995
372,Yoshua Bengio,Markovian models for sequential data,1999
364,Yoshua Bengio,Gated feedback recurrent neural networks,2015
362,Yoshua Bengio,The difficulty of training deep architectures and the effect of unsupervised pre-training,2009
359,Yoshua Bengio,Input-output HMMs for sequence processing,1996
356,Yoshua Bengio,A recurrent latent variable model for sequential data,2015
352,Yoshua Bengio,Graph attention networks,2017
349,Yoshua Bengio,Deep learning of representations: Looking forward,2013
347,Yoshua Bengio,High quality document image compression with DjVu,1998
344,Yoshua Bengio,The one hundred layers tiramisu: Fully convolutional densenets for semantic segmentation,2017
344,Yoshua Bengio,Unsupervised feature learning and deep learning: A review and new perspectives,2012
339,Yoshua Bengio,Kernel matching pursuit,2002
325,Yoshua Bengio,Generalized denoising auto-encoders as generative models,2013
318,Yoshua Bengio,Advances in optimizing recurrent networks,2013
312,Yoshua Bengio,Investigation of recurrent-neural-network architectures and learning methods for spoken language understanding.,2013
304,Yoshua Bengio,Global optimization of a neural network-hidden Markov model hybrid,1991
303,Yoshua Bengio,A hierarchical latent variable encoder-decoder model for generating dialogues,2017
301,Yoshua Bengio,A semantic matching energy function for learning with multi-relational data,2014
285,Yoshua Bengio,Using recurrent neural networks for slot filling in spoken language understanding,2014
278,Yoshua Bengio,Boosting neural networks,2000
274,Yoshua Bengio,Pylearn2: a machine learning research library,2013
273,Yoshua Bengio,Learning eigenfunctions links spectral embedding and kernel PCA,2004
259,Yoshua Bengio,Deep generative stochastic networks trainable by backprop,2014
258,Yoshua Bengio,11 label propagation and quadratic criterion,2006
255,Yoshua Bengio,Joint learning of words and meaning representations for open-text semantic parsing,2012
248,Yoshua Bengio,What regularized auto-encoders learn from the data-generating distribution,2014
245,Yoshua Bengio,Plug & play generative networks: Conditional iterative generation of images in latent space,2017
232,Yoshua Bengio,Hierarchical recurrent neural networks for long-term dependencies,1996
229,Yoshua Bengio,An empirical investigation of catastrophic forgetting in gradient-based neural networks,2013
228,Yoshua Bengio,On the expressive power of deep architectures,2011
225,Yoshua Bengio,Hierarchical multiscale recurrent neural networks,2016
225,Yoshua Bengio,Gradient-based optimization of hyperparameters,2000
27260,Michael I. Jordan,Latent dirichlet allocation,2003
7505,Michael I. Jordan,On spectral clustering: Analysis and an algorithm,2002
3969,Michael I. Jordan,Adaptive mixtures of local experts.,1991
3766,Michael I. Jordan,Sharing clusters among related groups: Hierarchical Dirichlet processes,2005
3276,Michael I. Jordan,Hierarchical mixtures of experts and the EM algorithm,1994
3218,Michael I. Jordan,An introduction to variational methods for graphical models,1999
3213,Michael I. Jordan,"Graphical models, exponential families, and variational inference",2008
2902,Michael I. Jordan,Distance metric learning with application to clustering with side-information,2003
2896,Michael I. Jordan,An internal model for sensorimotor integration,1995
2559,Michael I. Jordan,Learning the kernel matrix with semidefinite programming,2004
2326,Michael I. Jordan,Optimal feedback control as a theory of motor coordination,2002
2200,Michael I. Jordan,Learning in graphical models,1998
2190,Michael I. Jordan,An introduction to MCMC for machine learning,2003
2172,Michael I. Jordan,Kalman filtering with intermittent observations,2004
2111,Michael I. Jordan,On discriminative vs. generative classifiers: A comparison of logistic regression and naive bayes,2002
1880,Michael I. Jordan,Kernel independent component analysis,2002
1858,Michael I. Jordan,Matching words and pictures,2003
1812,Michael I. Jordan,Active learning with statistical models,1996
1809,Michael I. Jordan,Loopy belief propagation for approximate inference: An empirical study,1999
1771,Michael I. Jordan,Forward models: Supervised learning with a distal teacher,1992
1595,Michael I. Jordan,"Multiple kernel learning, conic duality, and the SMO algorithm",2004
1518,Michael I. Jordan,Supervised topic models,2008
1470,Michael I. Jordan,Factorial hidden Markov models,1996
1317,Michael I. Jordan,Attractor dynamics and parallelism in a connectionist sequential machine,1986
1285,Michael I. Jordan,Modeling annotated data,2003
1261,Michael I. Jordan,Trust region policy optimization,2015
1127,Michael I. Jordan,Variational inference for Dirichlet process mixtures,2006
1126,Michael I. Jordan,Serial order: A parallel distributed processing approach,1997
1022,Michael I. Jordan,Hierarchical topic models and the nested Chinese restaurant process,2004
1005,Michael I. Jordan,"Convexity, classification, and risk bounds",2006
948,Michael I. Jordan,"Machine learning: Trends, perspectives, and prospects",2015
894,Michael I. Jordan,Convex and semi-nonnegative matrix factorizations,2008
860,Michael I. Jordan,A direct formulation for sparse PCA using semidefinite programming,2005
851,Michael I. Jordan,Scalable statistical bug isolation,2005
841,Michael I. Jordan,Learning transferable features with deep adaptation networks,2015
817,Michael I. Jordan,On convergence properties of the EM algorithm for Gaussian mixtures,1996
771,Michael I. Jordan,Graphical models,2004
766,Michael I. Jordan,Feature selection for high-dimensional genomic microarray data,2001
739,Michael I. Jordan,A statistical framework for genomic data fusion,2004
734,Michael I. Jordan,Convergence of stochastic iterative dynamic programming algorithms,1994
731,Michael I. Jordan,Autonomous inverted helicopter flight via reinforcement learning,2006
677,Michael I. Jordan,Task decomposition through competition in a modular connectionist architecture: The what and where vision tasks,1991
668,Michael I. Jordan,Bug isolation via remote program sampling,2003
645,Michael I. Jordan,Supervised learning from incomplete data via an EM approach,1994
598,Michael I. Jordan,The nested chinese restaurant process and bayesian nonparametric inference of topic hierarchies,2010
593,Michael I. Jordan,Sensorimotor adaptation in speech production,1998
572,Michael I. Jordan,Fifty strategies for teaching English language learners,2003
562,Michael I. Jordan,Detecting large-scale system problems by mining console logs,2009
541,Michael I. Jordan,Bayesian parameter estimation via variational methods,2000
516,Michael I. Jordan,Managing data transfers in computer clusters with orchestra,2011
510,Michael I. Jordan,Learning spectral clustering,2004
494,Michael I. Jordan,Chemogenomic profiling: identifying the functional interactions of small molecules in yeast,2004
486,Michael I. Jordan,Dimensionality reduction for supervised learning with reproducing kernel Hilbert spaces,2004
483,Michael I. Jordan,High-dimensional continuous control using generalized advantage estimation,2015
481,Michael I. Jordan,Advances in Neural Information Processing Systems 16: Proceedings of the 2003 Conference,2004
470,Michael I. Jordan,A robust minimax approach to classification,2002
462,Michael I. Jordan,PEGASUS: A policy search method for large MDPs and POMDPs,2000
426,Michael I. Jordan,Mean field theory for sigmoid belief networks,1996
426,Michael I. Jordan,Learning without state-estimation in partially observable Markovian decision processes,1994
422,Michael I. Jordan,Joint covariate selection and joint subspace selection for multiple classification problems,2010
416,Michael I. Jordan,Fast approximate spectral clustering,2009
413,Michael I. Jordan,DiscLDA: Discriminative learning for dimensionality reduction and classification,2009
409,Michael I. Jordan,Are arm trajectories planned in kinematic or dynamic coordinates? An adaptation study,1995
405,Michael I. Jordan,A probabilistic interpretation of canonical correlation analysis,2005
404,Michael I. Jordan,Reinforcement learning algorithm for partially observable Markov decision problems,1995
403,Michael I. Jordan,Learning dependency-based compositional semantics,2013
400,Michael I. Jordan,Probabilistic independence networks for hidden Markov probability models,1997
394,Michael I. Jordan,Latent dirichlet allocation,2002
388,Michael I. Jordan,Hierarchical beta processes and the Indian buffet process,2007
378,Michael I. Jordan,Kernel-based data fusion and its application to protein function prediction in yeast,2003
374,Michael I. Jordan,Convergence results for the EM approach to mixtures of experts architectures,1995
373,Michael I. Jordan,Nonparametric latent feature models for link prediction,2009
354,Michael I. Jordan,Advances in large margin classifiers,2000
350,Michael I. Jordan,A comment on D,1957
335,Michael I. Jordan,Learning with mixtures of trees,2000
330,Michael I. Jordan,Stable algorithms for link analysis,2001
323,Michael I. Jordan,Local privacy and statistical minimax rates,2013
311,Michael I. Jordan,Failure diagnosis using decision trees,2004
310,Michael I. Jordan,Hierarchical Bayesian nonparametric models with applications,2010
310,Michael I. Jordan,Multi-task feature selection,2006
309,Michael I. Jordan,Reinforcement learning with soft state aggregation,1995
308,Michael I. Jordan,Probabilistic models of the brain: Perception and neural function,2002
308,Michael I. Jordan,Learning from dyadic data,1999
301,Michael I. Jordan,An alternative model for mixtures of experts,1995
299,Michael I. Jordan,Revisiting k-means: New algorithms via Bayesian nonparametrics,2011
288,Michael I. Jordan,A sticky HDP-HMM with application to speaker diarization,2011
282,Michael I. Jordan,Predicting multiple metrics for queries: Better decisions enabled by machine learning,2009
282,Michael I. Jordan,Supervised learning and systems with excess degrees of freedom,1988
278,Michael I. Jordan,Unsupervised domain adaptation with residual transfer networks,2016
277,Michael I. Jordan,Motor learning and the degrees of freedom problem,1990
276,Michael I. Jordan,"Learning spectral clustering, with application to speech separation",2006
274,Michael I. Jordan,Exploiting tractable substructures in intractable networks,1996
272,Michael I. Jordan,An HDP-HMM for systems with state persistence,2008
267,Michael I. Jordan,Learning piecewise control strategies in a modular neural network architecture,1993
265,Michael I. Jordan,Estimating divergence functionals and the likelihood ratio by convex risk minimization,2010
265,Michael I. Jordan,"Link analysis, eigenvectors and stability",2001
263,Michael I. Jordan,MLbase: A Distributed Machine-learning System.,2013
255,Michael I. Jordan,A critical assessment of Mus musculus gene function prediction using integrated genomic evidence,2008
246,Michael I. Jordan,Support union recovery in high-dimensional multivariate regression,2011
243,Michael I. Jordan,Hierarchies of adaptive experts,1992
42659,Ilya Sutskever,Imagenet classification with deep convolutional neural networks,2012
13531,Ilya Sutskever,Distributed representations of words and phrases and their compositionality,2013
12827,Ilya Sutskever,Dropout: a simple way to prevent neural networks from overfitting,2014
6915,Ilya Sutskever,Sequence to sequence learning with neural networks,2014
5129,Ilya Sutskever,Mastering the game of Go with deep neural networks and tree search,2016
4521,Ilya Sutskever,Tensorflow: A system for large-scale machine learning,2016
4521,Ilya Sutskever,Tensorflow: A system for large-scale machine learning,2016
4521,Ilya Sutskever,Tensorflow: A system for large-scale machine learning,2016
3952,Ilya Sutskever,Improving neural networks by preventing co-adaptation of feature detectors,2012
3866,Ilya Sutskever,"TensorFlow: Large-scale machine learning on heterogeneous systems, 2015",2015
3781,Ilya Sutskever,Tensorflow: Large-scale machine learning on heterogeneous distributed systems,2016
2599,Ilya Sutskever,Intriguing properties of neural networks,2013
1804,Ilya Sutskever,On the importance of initialization and momentum in deep learning,2013
1198,Ilya Sutskever,Recurrent neural network regularization,2014
1097,Ilya Sutskever,Infogan: Interpretable representation learning by information maximizing generative adversarial nets,2016
848,Ilya Sutskever,Generating text with recurrent neural networks,2011
760,Ilya Sutskever,An empirical exploration of recurrent network architectures,2015
691,Ilya Sutskever,Exploiting similarities among languages for machine translation,2013
540,Ilya Sutskever,Grammar as a foreign language,2015
483,Ilya Sutskever,Learning recurrent neural networks with hessian-free optimization,2011
428,Ilya Sutskever,Addressing the rare word problem in neural machine translation,2014
404,Ilya Sutskever,Improved variational inference with inverse autoregressive flow,2016
339,Ilya Sutskever,The recurrent temporal restricted boltzmann machine,2009
337,Ilya Sutskever,Multi-task sequence to sequence learning,2015
326,Ilya Sutskever,Continuous deep q-learning with model-based acceleration,2016
315,Ilya Sutskever,Learning to execute,2014
307,Ilya Sutskever,Evolution strategies as a scalable alternative to reinforcement learning,2017
295,Ilya Sutskever,Training recurrent neural networks,2013
273,Ilya Sutskever,Advances in neural information processing systems,2012
251,Ilya Sutskever,Synthesizing robust adversarial examples,2017
219,Ilya Sutskever,Modelling relational data using bayesian clustered tensor factorization,2009
216,Ilya Sutskever,Learning multilevel distributed representations for high-dimensional sequences,2007
193,Ilya Sutskever,Improving language understanding by generative pre-training,2018
187,Ilya Sutskever,Variational lossy autoencoder,2016
178,Ilya Sutskever,One-shot imitation learning,2017
177,Ilya Sutskever,Adding gradient noise improves learning for very deep networks,2015
166,Ilya Sutskever,Reinforcement learning neural turing machines-revised,2015
158,Ilya Sutskever,RL,2016
157,Ilya Sutskever,: Fast Reinforcement Learning via Slow Reinforcement Learning,2017
155,Ilya Sutskever,Learning to generate reviews and discovering sentiment,2015
151,Ilya Sutskever,Neural programmer: Inducing latent programs with gradient descent,2015
128,Ilya Sutskever,Neural gpus learn algorithms,2012
125,Ilya Sutskever,Subword language modeling with neural networks,2015
113,Ilya Sutskever,TensorFlow: large-scale machine learning on heterogeneous systems. Software available from tensorflow. org. 2015,2012
110,Ilya Sutskever,Training deep and recurrent networks with hessian-free optimization,2008
108,Ilya Sutskever,"Deep, narrow sigmoid belief networks are universal approximators",2014
93,Ilya Sutskever,Move evaluation in Go using deep convolutional neural networks,2012
92,Ilya Sutskever,Imagenet classification with deep convolutional neural networks,2010
91,Ilya Sutskever,On the convergence properties of contrastive divergence,2015
84,Ilya Sutskever,Neural random-access machines,2007
79,Ilya Sutskever,Visualizing similarity data with a mixture of maps,2017
76,Ilya Sutskever,Third-person imitation learning,2017
70,Ilya Sutskever,Continuous adaptation via meta-learning in nonstationary and competitive environments,2015
63,Ilya Sutskever,Muprop: Unbiased backpropagation for stochastic neural networks,2017
53,Ilya Sutskever,Emergent complexity via multi-agent competition,2018
50,Ilya Sutskever,Ffjord: Free-form continuous dynamics for scalable reversible generative models,2019
47,Ilya Sutskever,Language models are unsupervised multitask learners,2013
36,Ilya Sutskever,Learning factored representations in a deep mixture of experts,2013
34,Ilya Sutskever,Stochastic k-neighborhood selection for supervised and unsupervised learning,2016
33,Ilya Sutskever,An online sequence-to-sequence model using partial conditioning,2008
32,Ilya Sutskever,Mimicking go experts with convolutional neural networks,2012
31,Ilya Sutskever,Estimating the hessian by back-propagating curvature,2015
31,Ilya Sutskever,Towards principled unsupervised learning,2010
30,Ilya Sutskever,Temporal-kernel recurrent neural networks,2012
28,Ilya Sutskever,Cardinality restricted boltzmann machines,2017
22,Ilya Sutskever,Parallelizing neural networks during training,2017
22,Ilya Sutskever,Learning online alignments with continuous rewards policy gradient,2011
20,Ilya Sutskever,Data normalization in the learning of restricted Boltzmann machines,2010
19,Ilya Sutskever,Parallelizable sampling of markov random fields,2017
18,Ilya Sutskever,Improving variational autoencoders with inverse autoregressive flow,2009
16,Ilya Sutskever,Using matrices to model symbolic relationship,2015
15,Ilya Sutskever,A neural transducer,2018
13,Ilya Sutskever,Some considerations on learning to explore via meta-reinforcement learning,2009
12,Ilya Sutskever,A simpler unified analysis of budget perceptrons,2018
12,Ilya Sutskever,Gamepad: A learning environment for theorem proving,2015
11,Ilya Sutskever,Generating representations of input sequences using neural networks,2019
9,Ilya Sutskever,Generating long sequences with sparse transformers,2016
9,Ilya Sutskever,System and method for addressing overfitting in a neural network,2016
9,Ilya Sutskever,System and method for generating training cases for image classification,2015
8,Ilya Sutskever,i Xiaoqiang Zheng,2016
7,Ilya Sutskever,Generative models,2012
6,Ilya Sutskever,ImageNet Classification with Deep Convolutional Neural Networks Advances in Neural Information Processing Systems 25,2013
5,Ilya Sutskever,Intriguing properties of neural networks,2016
5,Ilya Sutskever,Extensions and Limitations of the Neural GPU,2016
5,Ilya Sutskever,Training neural networks on partitioned training data,2014
5,Ilya Sutskever,Sequence to sequence learning with neural networks. CoRR abs/1409.3215,2012
4,Ilya Sutskever,Neural Information Processing Systems,2019
3,Ilya Sutskever,Scalable reversible generative models with free-form continuous dynamics,2018
3,Ilya Sutskever,The importance of sampling inmeta-reinforcement learning,2017
2,Ilya Sutskever,An online sequence-to-sequence model for noisy speech recognition,2017
2,Ilya Sutskever,Convolutional gated recurrent neural networks,2016
1,Ilya Sutskever,Neural machine translation systems with rare word processing,2018
1,Ilya Sutskever,Selecting actions to be performed by a reinforcement learning agent using tree search,2017
1,Ilya Sutskever,System and method for parallelizing convolutional neural networks,2007
23605,Luc Van Gool,"BSurf: Speeded up robust features,’’Computer Vision ECCV 2006",2006
23581,Luc Van Gool,Speeded-up robust features (SURF),2008
15169,Luc Van Gool,Surf: Speeded up robust features,2006
8394,Luc Van Gool,The PASCAL visual object classes challenge 2007,2009
6244,Luc Van Gool,The pascal visual object classes (voc) challenge,2010
3561,Luc Van Gool,A comparison of affine region detectors,2005
1812,Luc Van Gool,Local invariant feature detectors: a survey,2008
1632,Luc Van Gool,The pascal visual object classes challenge: A retrospective,2015
1552,Luc Van Gool,An adaptive color-based particle filter,2003
1425,Luc Van Gool,Self-calibration and metric reconstruction inspite of varying and unknown intrinsic camera parameters,1999
1169,Luc Van Gool,Visual modeling with a hand-held camera,2004
1158,Luc Van Gool,Procedural modeling of buildings,2006
954,Luc Van Gool,An efficient dense and scale-invariant spatio-temporal interest point detector,2008
847,Luc Van Gool,Matching widely separated views based on aftlnely invariant neighbourhoods,2004
840,Luc Van Gool,Matching widely separated views based on affine invariant regions,2004
826,Luc Van Gool,Temporal segment networks: Towards good practices for deep action recognition,2016
739,Luc Van Gool,A+: Adjusted anchored neighborhood regression for fast super-resolution,2014
729,Luc Van Gool,Anchored neighborhood regression for fast example-based super-resolution,2013
695,Luc Van Gool,On benchmarking camera calibration and multi-view stereo for high resolution imagery,2008
692,Luc Van Gool,"Wide baseline stereo matching based on local, affinely invariant regions",2000
690,Luc Van Gool,You'll never walk alone: Modeling social behavior for multi-target tracking,2009
664,Luc Van Gool,Geometry-driven diffusion in computer vision,2013
642,Luc Van Gool,A stochastic optimal control approach for power management in plug-in hybrid electric vehicles,2010
633,Luc Van Gool,Robust tracking-by-detection using a detector confidence particle filter,2009
612,Luc Van Gool,Pedestrian detection at 100 frames per second,2012
604,Luc Van Gool,"Online multiperson tracking-by-detection from a single, uncalibrated camera",2010
574,Luc Van Gool,Action snippets: How many frames does human action recognition require?,2008
564,Luc Van Gool,"Hough forests for object detection, tracking, and action recognition",2011
559,Luc Van Gool,Texture analysis anno 1983,1985
548,Luc Van Gool,Image-based procedural modeling of facades,2007
537,Luc Van Gool,A mobile vision system for robust multi-person tracking,2008
505,Luc Van Gool,Depth and appearance for mobile scene analysis,2007
440,Luc Van Gool,Modeling scenes with local descriptors and latent aspects,2005
435,Luc Van Gool,Face detection without bells and whistles,2014
432,Luc Van Gool,Efficient non-maximum suppression,2006
425,Luc Van Gool,Real time head pose estimation with random regression forests,2011
408,Luc Van Gool,Real-time facial feature detection using conditional regression forests,2012
406,Luc Van Gool,blue-c: a spatially immersive display and 3D video portal for telepresence,2003
375,Luc Van Gool,Dynamic 3d scene analysis from a moving vehicle,2007
375,Luc Van Gool,Affine/photometric invariants for planar intensity patterns,1996
370,Luc Van Gool,Object detection by contour segment networks,2006
360,Luc Van Gool,Coupled object detection and tracking from static cameras and moving vehicles,2008
355,Luc Van Gool,A survey of urban reconstruction,2012
348,Luc Van Gool,A simple and efficient rectification method for general motion,1999
345,Luc Van Gool,Coupled detection and trajectory estimation for multi-object tracking,2007
331,Luc Van Gool,Combining RGB and ToF cameras for real-time 3D hand gesture interaction,2011
325,Luc Van Gool,Hough transform and 3D SURF for robust three dimensional classification,2010
324,Luc Van Gool,Random forests for real time 3d face analysis,2013
317,Luc Van Gool,Object tracking with an adaptive color-based particle filter,2002
314,Luc Van Gool,A benchmark dataset and evaluation methodology for video object segmentation,2016
299,Luc Van Gool,Content-based image retrieval based on local affinely invariant regions,1999
298,Luc Van Gool,Moment invariants for recognition under changing viewpoint and illumination,2004
296,Luc Van Gool,Food-101–mining discriminative components with random forests,2014
292,Luc Van Gool,A hough transform-based voting framework for action recognition,2010
289,Luc Van Gool,Fast 3d scanning with automatic motion compensation,2007
289,Luc Van Gool,Web-based 3D reconstruction service,2006
288,Luc Van Gool,Real time head pose estimation from consumer depth cameras,2011
287,Luc Van Gool,Towards multi-view object class detection,2006
283,Luc Van Gool,World-scale mining of objects and events from community photo collections,2008
274,Luc Van Gool,Simultaneous object recognition and segmentation by image exploration,2004
271,Luc Van Gool,Advanced three-dimensional television system technologies,2002
267,Luc Van Gool,Seeds: Superpixels extracted via energy-driven sampling,2012
266,Luc Van Gool,Prime object proposals with randomized prim's algorithm,2013
264,Luc Van Gool,Creating summaries from user videos,2014
264,Luc Van Gool,"Beyond semi-supervised tracking: Tracking should be as simple as detection, but not simpler than recognition",2009
264,Luc Van Gool,Robust multiperson tracking from a mobile platform,2009
263,Luc Van Gool,Multi viewpoint stereo from uncalibrated video sequences,1998
262,Luc Van Gool,Automated reconstruction of 3D scenes from sequences of images,2000
260,Luc Van Gool,Wide-baseline stereo matching with line segments,2005
259,Luc Van Gool,Tracking the invisible: Learning where the object might be,2010
255,Luc Van Gool,Seeking the strongest rigid detector,2013
255,Luc Van Gool,3d urban scene modeling integrating recognition and reconstruction,2008
253,Luc Van Gool,The 2005 pascal visual object classes challenge,2006
252,Luc Van Gool,"Multi-view traffic sign detection, recognition, and 3D localisation",2014
250,Luc Van Gool,Determination of optical flow and its discontinuities using non-linear diffusion,1994
248,Luc Van Gool,A color-based particle filter,2002
244,Luc Van Gool,Computational Studies of Human Motion: Tracking and Motion Synthesis,2006
244,Luc Van Gool,ZuBuD—zurich buildings database for image based recognition,2003
238,Luc Van Gool,What's going on? discovering spatio-temporal dependencies in dynamic scenes,2010
236,Luc Van Gool,Omnidirectional vision based topological navigation,2007
235,Luc Van Gool,Hello neighbor: Accurate object retrieval with k-reciprocal nearest neighbors,2011
231,Luc Van Gool,One-shot video object segmentation,2017
229,Luc Van Gool,Traffic sign recognition—How far are we from the solution?,2013
217,Luc Van Gool,An evolutionary and optimised approach on 3D-TV,2002
216,Luc Van Gool,Combined depth and outlier estimation in multi-view stereo,2006
216,Luc Van Gool,Simultaneous object recognition and segmentation from single or multiple model views,2006
215,Luc Van Gool,Face/off: Live facial puppetry,2009
211,Luc Van Gool,Real-time range acquisition by adaptive structured light,2006
210,Luc Van Gool,Dex: Deep expectation of apparent age from a single image,2015
209,Luc Van Gool,Deep expectation of real and apparent age from a single image without facial landmarks,2018
209,Luc Van Gool,Ntire 2017 challenge on single image super-resolution: Methods and results,2017
208,Luc Van Gool,Dense matching of multiple wide-baseline views,2003
202,Luc Van Gool,Stratified self-calibration with the modulus constraint,1999
201,Luc Van Gool,Efficient mining of frequent and distinctive feature configurations,2007
200,Luc Van Gool,"Applications of Invariance in Computer Vision: Second Joint European-US Workshop, Ponta Delgada, Azores, Portugal, October 9-14, 1993. Proceedings",1994
199,Luc Van Gool,What makes a chair a chair?,2011
195,Luc Van Gool,Probabilistic object tracking using multiple features,2004
192,Luc Van Gool,Motion capture of hands in action using discriminative salient points,2012
191,Luc Van Gool,Video summarization by learning submodular mixtures of objectives,2015
190,Luc Van Gool,Real-time face pose estimation from single range images,2008
24353,Aatos Heikkinen,GEANT4—a simulation toolkit,2003
14532,Aatos Heikkinen,Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,2012
5480,Aatos Heikkinen,Geant4 developments and applications,2006
3342,Aatos Heikkinen,Search for top-squark pair production in the single-lepton final state in pp collisions at ,2013
3339,Aatos Heikkinen,Observation of a new boson with mass near 125 GeV in pp collisions at ,2013
3104,Aatos Heikkinen, and 8 TeV,2012
2913,Aatos Heikkinen,"Suppression of non-prompt J/ ψ, prompt J/ ψ, and ",2012
2640,Aatos Heikkinen,(1S) in PbPb collisions at ,2011
2209,Aatos Heikkinen, TeV,2012
2027,Aatos Heikkinen,Study of high- pT charged particle su p pression in PbPb com pared to p p collisions at ,2013
2026,Aatos Heikkinen,Dependence on pseudorapidity and on centrality of charged hadron production in PbPb collisions at ,2012
1923,Aatos Heikkinen, TeV,2008
1893,Aatos Heikkinen,Search for dark matter and large extra dimensions in monojet events in pp collisions at ,2011
1846,Aatos Heikkinen, TeV,2014
1757,Aatos Heikkinen,Search for top-squark pair production in the single-lepton final state in pp collisions at ,2012
